millisecond delta,milligram delta
1691161006379,17520
15,0
119,0
91,0
119,0
31,0
120,0
134,0
76,0
89,0
120,0
89,0
121,-20
90,0
121,0
88,0
61,-10
88,0
91,0
122,0
89,0
120,0
90,0
91,0
120,0
89,0
120,0
90,0
60,10
91,0
118,0
94,0
119,20
119,0
91,0
118,0
30,0
120,0
91,0
121,0
89,0
90,0
119,0
91,0
122,-10
90,0
118,0
91,0
58,0
91,0
122,0
88,0
90,0
120,0
121,0
89,0
119,0
31,0
119,0
91,0
120,0
91,0
119,0
91,0
119,10
90,0
61,0
90,0
120,0
91,0
136,0
83,0
112,0
90,0
151,0
59,0
90,0
122,0
59,0
89,0
90,-10
121,0
90,0
119,0
91,-20
120,0
61,0
87,0
91,20
120,0
107,0
104,0
120,10
90,0
91,0
88,0
122,0
88,0
60,0
119,0
91,0
120,0
89,0
120,0
91,0
90,0
120,0
90,0
58,0
153,0
58,0
92,0
121,0
88,0
119,0
92,0
118,0
89,0
92,0
59,0
122,-10
88,0
120,0
90,0
91,0
120,0
90,0
121,0
60,0
89,0
119,0
91,0
90,0
120,0
91,0
121,0
90,0
120,0
87,0
120,0
31,0
120,0
90,0
120,0
90,-10
119,0
91,0
91,0
120,20
61,0
118,0
92,0
89,0
118,0
92,0
118,0
90,0
120,0
89,0
60,0
149,-10
90,0
121,0
30,0
90,0
125,0
85,0
119,0
90,10
92,0
119,0
90,0
101,0
110,0
93,0
89,-90
119,20
89,20
121,0
89,10
61,10
88,10
119,0
92,0
119,0
90,10
121,0
91,0
88,0
122,10
60,0
88,0
91,0
122,0
87,0
121,0
90,0
90,0
120,0
89,-10
119,0
92,-10
59,0
120,-10
88,0
120,0
90,0
122,0
89,0
94,20
117,0
58,0
92,0
118,10
90,0
93,0
119,0
88,-10
121,0
89,0
92,0
117,0
92,0
60,0
120,0
88,0
94,0
120,0
88,0
121,0
90,-70
120,10
88,10
62,10
88,10
123,10
89,-60
120,10
91,20
90,10
117,0
91,10
91,10
118,0
92,0
122,0
89,10
60,0
119,10
90,0
90,10
119,0
93,0
120,0
89,0
119,0
90,0
92,0
117,-10
60,0
89,-10
93,0
117,-10
92,0
89,0
119,0
93,0
118,0
90,0
119,0
91,0
91,0
61,0
135,0
92,0
103,0
89,0
90,0
120,10
90,0
121,0
59,0
89,0
120,0
90,0
120,0
88,10
92,0
120,0
91,0
121,0
90,0
61,0
88,0
119,10
92,0
119,0
92,0
117,-10
92,0
90,0
120,0
99,0
110,0
89,0
61,0
89,-10
92,0
119,0
90,0
119,0
92,0
119,0
92,0
118,10
92,0
62,0
87,0
120,10
90,0
119,50
90,0
92,0
118,-10
91,-20
119,0
90,0
121,0
30,-80
118,0
91,10
122,0
88,10
120,-10
92,0
118,10
91,0
92,0
60,10
150,0
60,0
89,0
120,0
88,0
120,10
90,0
91,10
122,0
89,0
90,0
121,0
88,0
120,10
92,0
88,0
61,0
91,-10
149,0
118,10
60,0
90,0
92,0
119,0
90,0
118,0
92,0
90,10
120,0
89,0
120,0
90,-10
60,0
91,0
119,0
105,0
96,0
100,0
91,0
120,-10
89,0
90,0
120,0
90,0
60,0
150,0
61,0
149,0
31,0
122,0
89,0
118,0
93,0
119,0
89,0
136,0
75,0
62,0
91,0
119,80
89,0
120,-30
90,0
88,-10
121,0
90,-10
118,0
62,0
118,0
90,-10
121,0
89,0
91,0
120,-10
91,0
118,0
31,0
121,0
88,0
120,10
92,0
89,0
120,0
90,10
119,0
90,0
91,0
119,0
93,0
89,-70
91,30
90,20
90,0
90,-10
120,0
88,-10
91,0
121,0
90,0
120,10
90,0
89,0
121,0
87,0
92,0
118,0
91,0
119,10
61,0
89,0
93,0
120,0
90,0
91,0
116,0
93,0
90,0
122,0
120,0
89,0
89,0
60,0
120,0
89,-20
121,0
120,0
61,0
119,0
89,0
121,0
89,0
90,0
91,0
119,0
94,0
117,10
67,0
111,0
76,0
107,0
91,0
120,0
89,0
119,0
91,0
89,0
150,0
61,-10
59,0
120,0
91,0
120,10
89,0
122,0
90,0
121,0
29,0
119,0
89,0
92,-10
121,0
90,0
120,0
119,20
91,0
118,0
31,0
120,0
95,0
114,0
90,0
121,0
89,0
120,0
91,0
92,0
57,0
92,0
118,0
119,10
92,0
91,0
117,0
91,0
119,0
89,0
92,0
67,0
113,0
90,0
120,0
121,-10
60,0
119,0
91,0
120,0
88,0
121,0
91,0
90,-10
120,0
29,0
121,0
90,0
121,0
90,0
88,0
120,0
91,0
118,0
91,0
91,10
120,0
90,0
91,0
120,0
90,0
119,0
60,0
91,0
90,0
119,0
90,0
120,0
89,0
120,0
90,0
59,0
91,0
91,0
118,0
91,0
119,0
91,0
120,0
89,10
90,0
124,0
112,0
105,0
21,0
121,0
90,0
119,-10
89,0
92,0
120,0
90,0
88,0
119,0
92,0
119,-10
92,0
90,0
117,0
64,0
88,0
121,0
87,0
121,10
90,0
92,0
120,0
88,10
90,0
122,0
88,0
91,10
120,0
93,0
115,0
60,-10
91,0
122,0
88,0
90,-10
119,0
91,0
119,0
93,0
58,0
