millisecond delta,milligram delta
1689700710320,0
96,0
91,0
89,0
121,0
90,0
120,0
89,0
61,0
92,0
119,0
89,0
90,0
120,0
90,0
118,0
101,0
110,0
91,0
60,0
149,0
91,0
119,0
92,0
90,0
120,0
89,0
62,0
90,0
91,0
89,0
150,0
60,0
120,0
91,0
119,0
90,0
118,0
91,0
90,0
119,0
31,0
119,0
122,0
88,0
120,0
92,0
119,0
90,0
93,0
117,0
31,0
119,0
91,0
118,0
92,0
118,0
93,0
118,0
77,0
73,0
119,0
90,0
119,0
90,0
91,0
120,0
119,0
30,0
120,0
90,0
120,0
93,0
89,0
119,0
91,0
118,0
92,0
89,0
121,0
60,0
88,0
121,0
90,0
120,0
91,0
89,0
118,0
122,0
88,0
62,0
91,0
89,0
118,0
92,0
121,0
90,0
89,0
118,0
93,0
118,0
92,0
90,0
118,0
91,0
60,0
122,0
89,0
92,0
116,0
121,0
90,0
91,0
119,0
59,0
91,0
119,0
89,0
93,0
117,0
90,0
89,0
121,0
89,0
120,0
90,0
123,0
91,0
60,0
90,0
119,0
91,0
122,0
89,0
90,0
121,0
88,0
120,0
61,0
89,0
91,0
121,0
91,0
88,0
122,0
89,0
118,0
61,0
119,0
89,0
121,0
91,0
121,0
88,0
92,0
117,0
91,0
118,0
31,0
121,0
91,0
120,0
90,0
148,0
31,0
119,0
94,0
117,0
89,0
119,0
92,0
118,0
90,0
60,0
93,0
92,0
116,0
92,0
89,0
122,0
90,0
120,0
90,0
119,0
62,0
88,0
121,0
89,0
121,0
90,0
121,0
90,0
89,0
119,0
91,0
122,0
89,0
61,0
87,0
123,0
87,0
121,0
122,0
60,0
88,0
92,0
118,0
92,0
119,0
91,0
122,0
58,0
88,0
119,0
92,0
119,0
90,0
121,0
57,0
91,0
119,0
90,0
120,0
90,0
120,0
90,0
120,0
31,0
121,0
122,0
90,0
117,0
93,0
88,0
121,0
60,0
89,0
122,-60
90,60
89,0
120,0
64,0
117,0
94,0
118,0
90,0
88,0
119,0
92,0
118,0
93,0
119,0
90,0
58,0
90,0
122,0
90,0
117,0
93,0
119,0
89,0
61,0
90,0
118,0
122,0
88,0
91,0
119,0
93,0
117,0
91,0
59,0
92,0
122,0
117,0
94,0
89,0
117,0
93,0
120,0
88,0
120,0
30,0
122,0
89,0
122,0
89,0
120,0
89,0
122,0
61,0
87,0
92,0
121,0
87,0
120,0
120,0
91,0
61,0
89,0
118,0
92,0
151,0
57,0
121,0
89,0
120,0
59,0
92,0
90,0
119,0
90,0
118,0
91,0
119,0
92,0
58,0
92,0
120,0
90,0
120,0
119,0
90,0
92,0
118,0
92,0
59,0
91,0
119,0
121,0
64591,70
91,-70
150,0
60,60
120,10
90,0
122,-10
89,0
58,-60
92,0
119,0
121,0
119,0
61,0
119,0
91,0
60,0
90,0
120,0
90,0
89,0
121,0
91,0
119,0
90,0
92,0
119,0
89,0
121,0
90,0
89,0
120,0
148,0
32,0
119,0
90,0
121,0
30,0
121,0
87,0
121,0
89,0
90,0
121,0
90,0
120,0
90,0
62,0
116,0
91,0
92,0
90,0
117,0
91,0
119,0
90,0
92,0
120,0
90,0
90,0
119,0
90,0
149,0
59,0
91,0
122,0
60,0
90,0
118,0
90,0
90,0
120,0
91,0
90,0
119,0
89,0
123,0
88,0
60,0
90,0
120,0
90,0
122,0
87,0
123,0
87,0
91,0
120,0
120,0
65,0
115,0
91,0
149,0
2,0
119,0
89,0
120,0
90,0
119,0
90,0
92,0
88,0
90,0
90,0
90,0
119,0
110,0
103,0
119,0
90,0
89,0
121,0
90,0
120,0
90,0
61,0
88,0
92,0
119,0
89,0
119,0
91,0
121,0
90,0
118,0
90,0
93,0
60,0
117,0
89,0
123,0
88,0
92,0
117,0
91,0
92,0
88,0
123,0
88,0
119,0
90,0
62,0
120,0
90,0
118,0
90,0
93,0
117,0
92,0
89,0
120,0
90,0
120,0
89,0
91,0
121,0
87,0
63,0
90,0
119,0
92,0
116,0
93,0
87,0
122,0
89,0
90,0
120,0
92,0
119,0
91,0
91,0
119,0
88,0
120,0
89,0
61,0
92,0
90,0
117,0
93,0
119,0
88,0
122,0
30,0
121,0
89,0
121,0
90,0
119,0
114,0
97,0
91,0
88,0
119,0
93,0
89,0
60,0
118,0
91,0
90,0
119,0
92,0
119,0
88,0
92,0
89,0
120,0
92,0
121,0
90,0
90,0
120,0
90,0
91,0
118,0
60,0
89,0
151,0
90,0
60,0
90,0
120,0
119,0
60,0
119,0
90,0
91,0
118,0
93,0
90,0
120,0
88,0
121,0
92,0
87,0
120,0
93,0
118,0
90,0
61,0
88,0
123,0
87,0
92,0
119,0
91,0
90,0
118,0
90,0
91,0
119,0
90,0
120,0
91,0
120,0
89,0
91,0
76,0
74,0
124,0
86,0
121,0
89,0
120,0
91,0
89,0
90,0
121,0
90,0
90,0
118,0
92,0
118,0
90,0
60,0
91,0
89,0
120,0
91,0
90,0
119,0
93,0
120,0
89,0
120,0
89,0
122,0
